start_code;end_code;description;start_code_letter;start_code_no;end_code_letter;end_code_no
A00;A09;Infektioese Darmkrankheiten;A;0;A;9
A15;A19;Tuberkulose;A;15;A;19
A20;A28;Bestimmte bakterielle Zoonosen;A;20;A;28
A30;A49;Sonstige bakterielle Krankheiten;A;30;A;49
A50;A64;Infektionen, die vorwiegend durch Geschlechtsverkehr uebertragen werden;A;50;A;64
A65;A69;Sonstige Spirochaetenkrankheiten;A;65;A;69
A70;A74;Sonstige Krankheiten durch Chlamydien;A;70;A;74
A75;A79;Rickettsiosen;A;75;A;79
A80;A89;Virusinfektionen des Zentralnervensystems;A;80;A;89
A92;A99;Durch Arthropoden uebertragene Viruskrankheiten und virale haemorrhagische Fieber;A;92;A;99
B00;B09;Virusinfektionen, die durch Haut- und Schleimhautlaesionen gekennzeichnet sind;B;0;B;9
B15;B19;Virushepatitis;B;15;B;19
B20;B24;HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];B;20;B;24
B25;B34;Sonstige Viruskrankheiten;B;25;B;34
B35;B49;Mykosen;B;35;B;49
B50;B64;Protozoenkrankheiten;B;50;B;64
B65;B83;Helminthosen;B;65;B;83
B85;B89;Pedikulose [Laeusebefall], Akarinose [Milbenbefall] und sonstiger Parasitenbefall der Haut;B;85;B;89
B90;B94;Folgezustaende von infektioesen und parasitaeren Krankheiten;B;90;B;94
B95;B98;Bakterien, Viren und sonstige Infektionserreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;B;95;B;98
B99;B99;Sonstige Infektionskrankheiten;B;99;B;99
C00;C14;Boesartige Neubildungen der Lippe, der Mundh?hle und des Pharynx;C;0;C;14
C15;C26;Boesartige Neubildungen der Verdauungsorgane;C;15;C;26
C30;C39;Boesartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe;C;30;C;39
C40;C41;Boesartige Neubildungen des Knochens und des Gelenkknorpels;C;40;C;41
C43;C44;Melanom und sonstige boesartige Neubildungen der Haut;C;43;C;44
C45;C49;Boesartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes;C;45;C;49
C50;C50;Boesartige Neubildungen der Brustdruese [Mamma];C;50;C;50
C51;C58;Boesartige Neubildungen der weiblichen Genitalorgane;C;51;C;58
C60;C63;Boesartige Neubildungen der maennlichen Genitalorgane;C;60;C;63
C64;C68;Boesartige Neubildungen der Harnorgane;C;64;C;68
C69;C72;Boesartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems;C;69;C;72
C73;C75;Boesartige Neubildungen der Schilddruese und sonstiger endokriner Dr?sen;C;73;C;75
C76;C80;Boesartige Neubildungen ungenau bezeichneter, sekundaerer und nicht naeher bezeichneter Lokalisationen;C;76;C;80
C81;C96;Boesartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primaer festgestellt oder vermutet;C;81;C;96
C97;C97;Boesartige Neubildungen als Primaertumoren an mehreren Lokalisationen;C;97;C;97
D00;D09;In-situ-Neubildungen;D;0;D;9
D10;D36;Gutartige Neubildungen;D;10;D;36
D37;D48;Neubildungen unsicheren oder unbekannten Verhaltens;D;37;D;48
D50;D53;Alimentaere Anaemien;D;50;D;53
D55;D59;Haemolytische Anaemien;D;55;D;59
D60;D64;Aplastische und sonstige Anaemien;D;60;D;64
D65;D69;Koagulopathien, Purpura und sonstige haemorrhagische Diathesen;D;65;D;69
D70;D77;Sonstige Krankheiten des Blutes und der blutbildenden Organe;D;70;D;77
D80;D90;Bestimmte Stoerungen mit Beteiligung des Immunsystems;D;80;D;90
E00;E07;Krankheiten der Schilddruese;E;0;E;7
E10;E14;Diabetes mellitus;E;10;E;14
E15;E16;Sonstige Stoerungen der Blutglukose-Regulation und der inneren Sekretion des Pankreas;E;15;E;16
E20;E35;Krankheiten sonstiger endokriner Druesen;E;20;E;35
E40;E46;Mangelernaehrung;E;40;E;46
E50;E64;Sonstige alimentaere Mangelzustaende;E;50;E;64
E65;E68;Adipositas und sonstige Ueberernaehrung;E;65;E;68
E70;E90;Stoffwechselstoerungen;E;70;E;90
F00;F09;Organische, einschliesslich symptomatischer psychischer Stoerungen;F;0;F;9
F10;F19;Psychische und Verhaltensstoerungen durch psychotrope Substanzen;F;10;F;19
F20;F29;Schizophrenie, schizotype und wahnhafte Stoerungen;F;20;F;29
F30;F39;Affektive Stoerungen;F;30;F;39
F40;F48;Neurotische, Belastungs- und somatoforme Stoerungen;F;40;F;48
F50;F59;Verhaltensauffaelligkeiten mit koerperlichen Stoerungen und Faktoren;F;50;F;59
F60;F69;Persoenlichkeits- und Verhaltensstoerungen;F;60;F;69
F70;F79;Intelligenzstoerung;F;70;F;79
F80;F89;Entwicklungsstoerungen;F;80;F;89
F90;F98;Verhaltens- und emotionale Stoerungen mit Beginn in der Kindheit und Jugend;F;90;F;98
F99;F99;Nicht naeher bezeichnete psychische Stoerungen;F;99;F;99
G00;G09;Entzuendliche Krankheiten des Zentralnervensystems;G;0;G;9
G10;G14;Systematrophien, die vorwiegend das Zentralnervensystem betreffen;G;10;G;14
G20;G26;Extrapyramidale Krankheiten und Bewegungsstoerungen;G;20;G;26
G30;G32;Sonstige degenerative Krankheiten des Nervensystems;G;30;G;32
G35;G37;Demyelinisierende Krankheiten des Zentralnervensystems;G;35;G;37
G40;G47;Episodische und paroxysmale Krankheiten des Nervensystems;G;40;G;47
G50;G59;Krankheiten von Nerven, Nervenwurzeln und Nervenplexus;G;50;G;59
G60;G64;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems;G;60;G;64
G70;G73;Krankheiten im Bereich der neuromuskulaeren Synapse und des Muskels;G;70;G;73
G80;G83;Zerebrale Laehmung und sonstige Laehmungssyndrome;G;80;G;83
G90;G99;Sonstige Krankheiten des Nervensystems;G;90;G;99
H00;H06;Affektionen des Augenlides, des Traenenapparates und der Orbita;H;0;H;6
H10;H13;Affektionen der Konjunktiva;H;10;H;13
H15;H22;Affektionen der Sklera, der Hornhaut, der Iris und des Ziliarkoerpers;H;15;H;22
H25;H28;Affektionen der Linse;H;25;H;28
H30;H36;Affektionen der Aderhaut und der Netzhaut;H;30;H;36
H40;H42;Glaukom;H;40;H;42
H43;H45;Affektionen des Glaskoerpers und des Augapfels;H;43;H;45
H46;H48;Affektionen des N. opticus und der Sehbahn;H;46;H;48
H49;H52;Affektionen der Augenmuskeln, Stoerungen der Blickbewegungen sowie Akkommodationsstoerungen und Refraktionsfehler;H;49;H;52
H53;H54;Sehstoerungen und Blindheit;H;53;H;54
H55;H59;Sonstige Affektionen des Auges und der Augenanhangsgebilde;H;55;H;59
H60;H62;Krankheiten des aeusseren Ohres;H;60;H;62
H65;H75;Krankheiten des Mittelohres und des Warzenfortsatzes;H;65;H;75
H80;H83;Krankheiten des Innenohres;H;80;H;83
H90;H95;Sonstige Krankheiten des Ohres;H;90;H;95
I00;I02;Akutes rheumatisches Fieber;I;0;I;2
I05;I09;Chronische rheumatische Herzkrankheiten;I;5;I;9
I10;I15;Hypertonie [Hochdruckkrankheit];I;10;I;15
I20;I25;Ischaemische Herzkrankheiten;I;20;I;25
I26;I28;Pulmonale Herzkrankheit und Krankheiten des Lungenkreislaufes;I;26;I;28
I30;I52;Sonstige Formen der Herzkrankheit;I;30;I;52
I60;I69;Zerebrovaskulaere Krankheiten;I;60;I;69
I70;I79;Krankheiten der Arterien, Arteriolen und Kapillaren;I;70;I;79
I80;I89;Krankheiten der Venen, der Lymphgefaesse und der Lymphknoten, anderenorts nicht klassifiziert;I;80;I;89
I95;I99;Sonstige und nicht naeher bezeichnete Krankheiten des Kreislaufsystems;I;95;I;99
J00;J06;Akute Infektionen der oberen Atemwege;J;0;J;6
J09;J18;Grippe und Pneumonie;J;9;J;18
J20;J22;Sonstige akute Infektionen der unteren Atemwege;J;20;J;22
J30;J39;Sonstige Krankheiten der oberen Atemwege;J;30;J;39
J40;J47;Chronische Krankheiten der unteren Atemwege;J;40;J;47
J60;J70;Lungenkrankheiten durch exogene Substanzen;J;60;J;70
J80;J84;Sonstige Krankheiten der Atmungsorgane, die hauptsaechlich das Interstitium betreffen;J;80;J;84
J85;J86;Purulente und nekrotisierende Krankheitszustaende der unteren Atemwege;J;85;J;86
J90;J94;Sonstige Krankheiten der Pleura;J;90;J;94
J95;J99;Sonstige Krankheiten des Atmungssystems;J;95;J;99
K00;K14;Krankheiten der Mundhoehle, der Speicheldruesen und der Kiefer;K;0;K;14
K20;K31;Krankheiten des Oesophagus, des Magens und des Duodenums;K;20;K;31
K35;K38;Krankheiten der Appendix;K;35;K;38
K40;K46;Hernien;K;40;K;46
K50;K52;Nichtinfektioese Enteritis und Kolitis;K;50;K;52
K55;K64;Sonstige Krankheiten des Darmes;K;55;K;64
K65;K67;Krankheiten des Peritoneums;K;65;K;67
K70;K77;Krankheiten der Leber;K;70;K;77
K80;K87;Krankheiten der Gallenblase, der Gallenwege und des Pankreas;K;80;K;87
K90;K93;Sonstige Krankheiten des Verdauungssystems;K;90;K;93
L00;L08;Infektionen der Haut und der Unterhaut;L;0;L;8
L10;L14;Bulloese Dermatosen;L;10;L;14
L20;L30;Dermatitis und Ekzem;L;20;L;30
L40;L45;Papulosquamoese Hautkrankheiten;L;40;L;45
L50;L54;Urtikaria und Erythem;L;50;L;54
L55;L59;Krankheiten der Haut und der Unterhaut durch Strahleneinwirkung;L;55;L;59
L60;L75;Krankheiten der Hautanhangsgebilde;L;60;L;75
L80;L99;Sonstige Krankheiten der Haut und der Unterhaut;L;80;L;99
M00;M03;Infektioese Arthropathien;M;0;M;3
M05;M14;Entzuendliche Polyarthropathien;M;5;M;14
M15;M19;Arthrose;M;15;M;19
M20;M25;Sonstige Gelenkkrankheiten;M;20;M;25
M30;M36;Systemkrankheiten des Bindegewebes;M;30;M;36
M40;M43;Deformitaeten der Wirbelsaeule und des Rueckens;M;40;M;43
M45;M49;Spondylopathien;M;45;M;49
M50;M54;Sonstige Krankheiten der Wirbelsaeule und des Rueckens;M;50;M;54
M60;M63;Krankheiten der Muskeln;M;60;M;63
M65;M68;Krankheiten der Synovialis und der Sehnen;M;65;M;68
M70;M79;Sonstige Krankheiten des Weichteilgewebes;M;70;M;79
M80;M85;Ver?nderungen der Knochendichte und -struktur;M;80;M;85
M86;M90;Sonstige Osteopathien;M;86;M;90
M91;M94;Chondropathien;M;91;M;94
M95;M99;Sonstige Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;M;95;M;99
N00;N08;Glomerulaere Krankheiten;N;0;N;8
N10;N16;Tubulointerstitielle Nierenkrankheiten;N;10;N;16
N17;N19;Niereninsuffizienz;N;17;N;19
N20;N23;Urolithiasis;N;20;N;23
N25;N29;Sonstige Krankheiten der Niere und des Ureters;N;25;N;29
N30;N39;Sonstige Krankheiten des Harnsystems;N;30;N;39
N40;N51;Krankheiten der maennlichen Genitalorgane;N;40;N;51
N60;N64;Krankheiten der Mamma [Brustdruese];N;60;N;64
N70;N77;Entzuendliche Krankheiten der weiblichen Beckenorgane;N;70;N;77
N80;N98;Nichtentzuendliche Krankheiten des weiblichen Genitaltraktes;N;80;N;98
N99;N99;Sonstige Krankheiten des Urogenitalsystems;N;99;N;99
O00;O08;Schwangerschaft mit abortivem Ausgang;O;0;O;8
O09;O09;Schwangerschaftsdauer;O;9;O;9
O10;O16;Oedeme, Proteinurie und Hypertonie waehrend der Schwangerschaft, der Geburt und des Wochenbettes;O;10;O;16
O20;O29;Sonstige Krankheiten der Mutter, die vorwiegend mit der Schwangerschaft verbunden sind;O;20;O;29
O30;O48;Betreuung der Mutter im Hinblick auf den Fetus und die Amnionhoehle sowie moegliche Entbindungskomplikationen;O;30;O;48
O60;O75;Komplikationen bei Wehentaetigkeit und Entbindung;O;60;O;75
